cell_idx,R_lo,R_hi,sigma_R,eps_abs,eps_floor,extremeR,gamma_bc,option_beta,ac2_N,ac2_LOSS,ac2_eliminated,ac2_first_loss_stamp,ac1_N,ac1_recovered,ac1_wilson_ub_pct,b6_rescue,b6_regress_correct_to_CW,b6_regress_abstain_to_CW,b6_regress_CW_worse_delta,b6_no_change_correct,b6_no_change_CW_same_or_better,alpha_commits,beta_fires,elapsed_ms
3743,0.4,1.1,0.3,0.02,0.1,1,2,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3744,0.4,1.1,0.3,0.025,0.06,0,1,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3745,0.4,1.1,0.3,0.025,0.06,0,1,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3746,0.4,1.1,0.3,0.025,0.06,0,1.3,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3747,0.4,1.1,0.3,0.025,0.06,0,1.3,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3748,0.4,1.1,0.3,0.025,0.06,0,1.6,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3749,0.4,1.1,0.3,0.025,0.06,0,1.6,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3750,0.4,1.1,0.3,0.025,0.06,0,2,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3751,0.4,1.1,0.3,0.025,0.06,0,2,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3752,0.4,1.1,0.3,0.025,0.06,1,1,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3753,0.4,1.1,0.3,0.025,0.06,1,1,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3754,0.4,1.1,0.3,0.025,0.06,1,1.3,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3755,0.4,1.1,0.3,0.025,0.06,1,1.3,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3756,0.4,1.1,0.3,0.025,0.06,1,1.6,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3757,0.4,1.1,0.3,0.025,0.06,1,1.6,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3758,0.4,1.1,0.3,0.025,0.06,1,2,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3759,0.4,1.1,0.3,0.025,0.06,1,2,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3760,0.4,1.1,0.3,0.025,0.08,0,1,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3761,0.4,1.1,0.3,0.025,0.08,0,1,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3762,0.4,1.1,0.3,0.025,0.08,0,1.3,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3763,0.4,1.1,0.3,0.025,0.08,0,1.3,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3764,0.4,1.1,0.3,0.025,0.08,0,1.6,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3765,0.4,1.1,0.3,0.025,0.08,0,1.6,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3766,0.4,1.1,0.3,0.025,0.08,0,2,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3767,0.4,1.1,0.3,0.025,0.08,0,2,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3768,0.4,1.1,0.3,0.025,0.08,1,1,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3769,0.4,1.1,0.3,0.025,0.08,1,1,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3770,0.4,1.1,0.3,0.025,0.08,1,1.3,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3771,0.4,1.1,0.3,0.025,0.08,1,1.3,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3772,0.4,1.1,0.3,0.025,0.08,1,1.6,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3773,0.4,1.1,0.3,0.025,0.08,1,1.6,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3774,0.4,1.1,0.3,0.025,0.08,1,2,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3775,0.4,1.1,0.3,0.025,0.08,1,2,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3776,0.4,1.1,0.3,0.025,0.1,0,1,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3777,0.4,1.1,0.3,0.025,0.1,0,1,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3778,0.4,1.1,0.3,0.025,0.1,0,1.3,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3779,0.4,1.1,0.3,0.025,0.1,0,1.3,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,3
3780,0.4,1.1,0.3,0.025,0.1,0,1.6,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3781,0.4,1.1,0.3,0.025,0.1,0,1.6,1,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
3782,0.4,1.1,0.3,0.025,0.1,0,2,0,362,1,1,2026-04-04_16-16-44-639Z,0,0,0,0,0,0,0,6,1,0,0,2
